RE-F-19C-2509;M-F-19C-2509;C-F-19C-2509;RE-F-19C-2609;M-F-19C-2609;C-F-19C-2609;RE-F-19C-2709;M-F-19C-2709;C-F-19C-2709;RE-F-19C-0410;M-F-19C-0410;C-F-19C-0410;RE-F-22C-1609;M-F-22C-1609;C-F-22C-1609;RE-F-22C-1909;M-F-22C-1909;C-F-22C-1909;RE-F-22C-3009;M-F-22C-3009;C-F-22C-3009;RE-F-22C-0110;M-F-22C-0110;C-F-22C-0110;RE-N-19C-2208;M-N-19C-2208;C-N-19C-2208;RE-N-19C-2708;M-N-19C-2708;C-N-19C-2708;RE-N-19C-1010;M-N-19C-1010;C-N-19C-1010;RE-N-19C-2110;M-N-19C-2110;C-N-19C-2110;RE-N-22C-1408;M-N-22C-1408;C-N-22C-1408;RE-N-22C-0810;M-N-22C-0810;C-N-22C-0810;RE-N-22C-0910;M-N-22C-0910;C-N-22C-0910;RE-N-22C-2210;M-N-22C-2210;C-N-22C-2210;T-RE-F-19C-2509;T-RE-F-19C-2609;T-RE-F-19C-2709;T-RE-F-19C-0410;T-RE-F-22C-1609;T-RE-F-22C-1909;T-RE-F-22C-3009;T-RE-F-22C-0110;T-RE-N-19C-2208;T-RE-N-19C-2708;T-RE-N-19C-1010;T-RE-N-22C-1408;T-RE-N-22C-0810;T-RE-N-22C-0910
7,218;3,989;3,881;8,541;3,930;3,881;7,307;3,828;3,662;4,723;3,765;3,562;5,177;3,417;3,333;6,133;3,723;3,611;7,151;3,828;3,562;6,776;4,178;3,562;4,353;3,511;3,714;4,692;3,977;3,824;4,595;3,973;3,714;;;;5,048;3,787;4,127;4,787;3,808;3,611;4,194;3,697;3,467;;;;21,905;18,203;21,028;24,732;27,512;23,169;22,677;22,661;21,010;19,087;21,129;16,609;19,177;21,842
3,819;3,985;3,881;6,008;3,872;3,881;7,208;3,838;3,662;6,902;3,776;3,562;5,895;3,397;3,291;5,428;3,725;3,611;6,019;3,833;3,562;6,540;4,097;3,562;4,491;3,480;3,662;5,534;4,042;3,824;5,266;3,937;3,714;;;;5,427;3,779;4,127;4,960;3,800;3,611;4,535;3,706;3,514;;;;21,967;18,292;21,097;24,751;27,547;23,213;22,743;22,709;21,026;19,100;21,141;16,634;19,197;21,853
7,875;3,987;3,881;6,984;3,932;3,881;6,330;3,834;3,714;5,781;3,778;3,562;5,324;3,443;3,250;5,457;3,727;3,611;6,961;3,835;3,514;5,586;4,045;3,514;3,752;3,449;3,714;4,402;3,971;3,768;3,766;3,903;3,662;;;;5,527;3,834;4,127;4,398;3,798;3,611;4,858;3,699;3,467;;;;21,963;18,333;21,164;24,814;27,597;23,244;22,786;22,756;21,045;19,128;21,166;16,667;19,220;21,870
6,078;3,987;3,881;7,152;3,877;3,881;6,147;3,825;3,714;6,115;3,767;3,562;4,513;3,391;3,250;5,475;3,719;3,662;6,076;3,793;3,562;6,070;4,041;3,514;4,933;3,365;3,662;4,975;3,989;3,768;5,298;3,905;3,662;;;;4,213;3,799;4,127;5,112;3,800;3,611;4,230;3,706;3,514;;;;22,037;18,392;21,214;24,855;27,635;23,276;22,848;22,785;21,051;19,136;21,163;16,700;19,232;21,893
6,834;3,980;3,881;7,206;3,887;3,881;6,909;3,825;3,662;7,283;3,772;3,562;5,269;3,352;3,250;5,047;3,717;3,611;6,829;3,780;3,562;7,043;3,833;3,514;5,088;3,396;3,662;5,212;3,991;3,768;4,998;3,898;3,662;;;;4,256;3,774;4,127;4,848;3,796;3,611;4,704;3,706;3,467;;;;22,077;18,456;21,260;24,902;27,658;23,309;22,894;22,824;21,081;19,154;21,190;16,708;19,258;21,904
6,093;3,991;3,881;6,417;3,870;3,881;6,094;3,832;3,662;5,429;3,776;3,562;5,421;3,344;3,250;5,518;3,711;3,662;6,830;3,776;3,562;6,041;3,885;3,562;4,215;3,422;3,662;5,176;3,991;3,768;4,770;3,905;3,662;;;;4,947;3,842;4,194;4,816;3,809;3,611;4,585;3,704;3,467;;;;22,131;18,521;21,321;24,973;27,698;23,333;22,956;22,888;21,114;19,177;21,211;16,717;19,279;21,924
6,120;3,983;3,881;7,245;3,883;3,881;5,794;3,827;3,662;5,260;3,783;3,562;5,105;3,348;3,250;4,975;3,723;3,662;5,053;3,800;3,562;6,673;3,865;3,562;4,250;3,339;3,662;4,725;4,002;3,768;5,201;3,909;3,611;;;;5,446;3,830;4,127;4,612;3,802;3,611;4,179;3,693;3,467;;;;22,171;18,571;21,366;25,006;27,741;23,366;23,017;22,931;21,129;19,199;21,228;16,739;19,298;21,942
4,978;3,989;3,881;6,711;3,885;3,881;6,733;3,815;3,714;5,566;3,780;3,562;5,850;3,301;3,210;5,101;3,717;3,662;6,330;3,778;3,514;6,499;3,789;3,514;4,962;3,313;3,662;6,016;3,984;3,768;4,503;3,905;3,611;;;;3,857;3,783;4,127;4,131;3,809;3,611;4,474;3,706;3,467;;;;22,212;18,636;21,405;25,036;27,777;23,389;23,042;22,987;21,146;19,212;21,253;16,770;19,315;21,952
7,237;3,972;3,881;6,939;3,883;3,881;7,168;3,823;3,662;6,716;3,730;3,562;5,199;3,295;3,250;6,246;3,707;3,662;6,988;3,815;3,514;6,186;3,776;3,562;4,579;3,396;3,662;4,702;3,971;3,768;6,250;3,905;3,611;;;;5,059;3,778;4,127;4,345;3,750;3,562;5,107;3,702;3,467;;;;22,231;18,691;21,463;25,072;27,831;23,415;23,094;23,041;21,178;19,250;21,264;16,772;19,321;21,968
5,898;3,989;3,881;6,200;3,875;3,881;5,358;3,823;3,714;6,083;3,781;3,562;5,083;3,296;3,250;4,830;3,715;3,662;7,230;3,811;3,514;6,253;3,778;3,562;4,250;3,339;3,662;4,703;3,973;3,768;4,088;3,909;3,662;;;;4,332;3,737;4,127;4,754;3,809;3,562;3,854;3,698;3,467;;;;22,293;18,751;21,529;25,133;27,871;23,462;23,158;23,090;21,201;19,264;21,310;16,797;19,333;21,997
6,114;3,987;3,881;7,134;3,877;3,881;6,959;3,828;3,662;6,970;3,783;3,562;5,585;3,249;3,250;5,775;3,719;3,662;5,416;3,806;3,514;6,642;3,789;3,514;3,891;3,396;3,662;5,696;3,991;3,768;4,879;3,969;3,611;;;;5,394;3,770;4,063;4,594;3,748;3,562;5,356;3,750;3,467;;;;22,329;18,797;21,559;25,179;27,909;23,482;23,227;23,140;21,218;19,278;21,313;16,809;19,352;22,000
